Country,Year,Daily cigarettes smoked,Data Percentage Male,DataPercentage Female,DataPercentageTotal,Smokers Total,Total Femal Smokers,Total Male Smokers
Canada,1980,29.200001,37.900002,42.200001,33.599998,7166130,3222664,3943466
Canada,1981,28.4,36.299999,40.099998,32.5,6990103,3179130,3810974
Canada,1982,27.700001,35.5,39,32.099998,6942431,3183268,3759163
Canada,1983,27,34.799999,38,31.799999,6906364,3197357,3709007
Canada,1984,26,34.099998,36.799999,31.5,6851889,3211427,3640462
Canada,1985,24.799999,33.400002,35.599998,31.200001,6794153,3226872,3567280
Canada,1986,23.700001,32.799999,34.700001,31,6765748,3247940,3517808
Canada,1987,22.799999,32,33.599998,30.5,6689574,3236307,3453267
Canada,1988,21.9,31.1,32.400002,29.799999,6598797,3215258,3383538
Canada,1989,21.200001,30.200001,31.4,29.1,6527982,3197568,3330414
Canada,1990,20.799999,29.4,30.5,28.4,6449225,3164394,3284830
Canada,1991,20.700001,28.799999,29.9,27.700001,6393761,3129591,3264171
Canada,1992,20.700001,28.200001,29.4,26.9,6333063,3082949,3250114
Canada,1993,20.9,27.6,29,26.200001,6270028,3030858,3239171
Canada,1994,20.9,26.9,28.5,25.299999,6190721,2971683,3219037
Canada,1995,21.1,26.200001,27.9,24.4,6099690,2905603,3194087
Canada,1996,21.299999,25.5,27.5,23.700001,6028022,2848904,3179118
Canada,1997,21.5,24.700001,26.700001,22.700001,5904378,2770918,3133460
Canada,1998,21.700001,23.799999,25.9,21.799999,5767848,2692132,3075716
Canada,1999,21.799999,22.799999,24.9,20.799999,5592743,2598771,2993972
Canada,2000,22,21.700001,23.700001,19.700001,5372251,2485081,2887170
Canada,2001,22.5,20.4,22.4,18.4,5131143,2358582,2772561
Canada,2002,23.1,19.200001,21.200001,17.299999,4896329,2237981,2658348
Canada,2003,23.799999,18.1,20.1,16.200001,4681563,2124195,2557368
Canada,2004,24.5,17.200001,19.200001,15.2,4499679,2026877,2472802
Canada,2005,24.9,16.4,18.5,14.5,4361250,1949486,2411765
Canada,2006,25.200001,15.9,17.9,13.9,4270240,1897134,2373106
Canada,2007,25.4,15.5,17.6,13.5,4230735,1866482,2364253
Canada,2008,25.6,15.2,17.4,13.1,4217761,1843990,2373771
Canada,2009,26.1,15.1,17.4,12.9,4242704,1839924,2402780
Canada,2010,26.6,14.9,17.1,12.7,4209177,1826046,2383131
Canada,2011,27.200001,14.7,16.799999,12.6,4171094,1819062,2352032
Canada,2012,27.6,14.5,16.5,12.6,4160166,1828543,2331623
United States,1980,31.9,29.700001,32.599998,27.1,52232402,24848309,27384093
United States,1981,31.6,29.299999,32.099998,26.799999,52230753,24892792,27337962
United States,1982,31.5,29.200001,31.9,26.6,52559045,25007459,27551587
United States,1983,31.4,28.799999,31.6,26.299999,52516876,24957605,27559269
United States,1984,31.200001,28.1,30.799999,25.6,51771496,24602389,27169106
United States,1985,31,27.299999,29.9,24.9,50935528,24206681,26728846
United States,1986,30.700001,26.6,29.1,24.299999,50109208,23808672,26300533
United States,1987,30.4,26,28.4,23.700001,49421448,23497304,25924144
United States,1988,30.1,25.4,27.700001,23.200001,48696624,23188636,25507988
United States,1989,29.700001,24.799999,27,22.700001,47937804,22867344,25070461
United States,1990,29.4,24.200001,26.299999,22.299999,47292146,22594100,24698045
United States,1991,29.4,23.700001,25.799999,21.799999,46901035,22389140,24511893
United States,1992,29.5,23.200001,25.200001,21.299999,46356087,22105511,24250576
United States,1993,29.700001,22.5,24.5,20.700001,45681677,21750522,23931155
United States,1994,29.799999,21.9,23.799999,20.1,44931865,21345213,23586650
United States,1995,29.799999,21.4,23.299999,19.6,44486513,21063372,23423140
United States,1996,29.5,21,23,19.200001,44253262,20888523,23364742
United States,1997,28.9,20.700001,22.700001,18.799999,44144468,20765115,23379355
United States,1998,28.1,20.4,22.299999,18.5,44047670,20689484,23358188
United States,1999,27.299999,20,21.9,18.200001,43801784,20559160,23242623
United States,2000,26.5,19.6,21.5,17.799999,43417781,20357385,23060399
United States,2001,25.9,19.200001,21,17.4,42955437,20084786,22870651
United States,2002,25.4,18.700001,20.6,17,42503357,19799394,22703965
United States,2003,24.799999,18.4,20.299999,16.6,42134091,19546334,22587755
United States,2004,24.1,18.1,20,16.299999,41991711,19416797,22574912
United States,2005,23.4,17.799999,19.700001,16,41858606,19314474,22544132
United States,2006,22.700001,17.5,19.4,15.7,41642152,19216561,22425591
United States,2007,22.299999,17.1,18.9,15.4,41208245,19068902,22139342
United States,2008,22.1,16.700001,18.4,15.1,40705734,18895480,21810254
United States,2009,22.299999,16.4,18,14.8,40190296,18672315,21517982
United States,2010,22.5,15.9,17.5,14.4,39506090,18329130,21176961
United States,2011,22.6,15.6,17.200001,14,38783730,17937650,20846082
United States,2012,22.5,15.3,16.9,13.7,38325132,17655144,20669990
World,1980,18.799999,25.1,40,10.3,720677620,148959868,571717681
World,1981,18.700001,25.1,40,10.3,735616954,151014867,584602123
World,1982,18.700001,25,40,10.2,751462004,153215483,598246546
World,1983,18.6,25,40,10.1,767196994,155232017,611964980
World,1984,18.6,24.9,40,10,781975779,156773620,625202160
World,1985,18.5,24.799999,39.799999,9.8000002,794518590,157454977,637063601
World,1986,18.5,24.6,39.700001,9.6000004,806649682,157949940,648699783
World,1987,18.4,24.5,39.5,9.5,818725556,158473889,660251713
World,1988,18.299999,24.299999,39.400002,9.3000002,830649030,158982723,671666325
World,1989,18.200001,24.200001,39.200001,9.1000004,842250889,159446566,682804295
World,1990,18.1,24,39.099998,9,853619292,159841906,693777320
World,1991,18.1,23.9,38.900002,8.8000002,864955863,160190492,704765401
World,1992,18,23.700001,38.799999,8.6999998,876037585,160382660,715654911
World,1993,18,23.6,38.700001,8.5,886638113,160461548,726176592
World,1994,18,23.4,38.5,8.3999996,895401851,160013977,735387866
World,1995,17.9,23.200001,38.299999,8.1999998,904394638,159921618,744472933
World,1996,17.9,23.1,38.099998,8.1000004,914102417,160440188,753662197
World,1997,17.9,22.700001,37.599998,7.9000001,917432987,160366044,757066953
World,1998,17.9,22.4,37,7.8000002,920502336,160710210,759792137
World,1999,18,22,36.5,7.6999998,922391331,161025476,761365847
World,2000,18,21.6,35.700001,7.5,920970035,160968100,760001904
World,2001,18.1,21.200001,35,7.4000001,919667321,160638921,759028385
World,2002,18.1,20.799999,34.299999,7.1999998,919015114,160507044,758508120
World,2003,18.200001,20.4,33.799999,7.0999999,920175120,160521584,759653601
World,2004,18.1,20.1,33.299999,7,922674725,160536312,762138456
World,2005,18.1,19.799999,32.700001,6.8000002,923889703,160246114,763643617
World,2006,18.1,19.4,32.200001,6.6999998,923605535,159428255,764177263
World,2007,18.1,19.1,31.700001,6.5999999,922136030,158486117,763649946
World,2008,18.1,18.799999,31.299999,6.4000001,923974257,157865592,766108681
World,2009,18.1,18.700001,31,6.3000002,929390882,157798045,771592863
World,2010,18,18.6,31,6.1999998,938591580,157785982,780805649
World,2011,17.9,18.6,31,6.1999998,951726906,158540381,793186569
World,2012,17.700001,18.6,31.1,6.1999998,967313733,160033187,807280565
